Compound Name,Type,bp,mu,Source(s)
,,,,
Methane,n-Alkane,-162,0,
Ethane,n-Alkane,-89,1,
Propane,n-Alkane,-42,2,
Butane,n-Alkane,-0.5,3,
Pentane,n-Alkane,36.1,4,
Hexane,n-Alkane,68.7,5,
Heptane,n-Alkane,98.4,6,
Octane,n-Alkane,125.6,7,
Nonane,n-Alkane,150.8,8,
Decane,n-Alkane,174.1,9,
Undecane,n-Alkane,196,10,
Dodecane,n-Alkane,216,11,
Tridecane,n-Alkane,235,12,
Tetradecane,n-Alkane,254,13,
Pentadecane,n-Alkane,270,14,
Hexadecane,n-Alkane,287,15,
octadecane,,316,,
,,330,,
,,344,,
